CollectorVerbatim	Standarized_Collector
Jiménez, A.	Jiménez, A.
Jiménez, G.	Jiménez, G.
Jiménez, H.	Jiménez, H.
Jiménez, J.	Jiménez, J.
Jiménez, L.C.	Jiménez, L.C.
Jiménez, N.	Jiménez, N.C.
Jiménez, N.C.	Jiménez, N.C.
Johnson, C.D.	Johnson, C.D.
Joya, E.	Joya, E.
Juzepczuk, S.V.	Juzepczuk, S.V.
Kalbreyer, W.	Kalbreyer, W.
Karsten, G.C.W.H.	Karsten, G.C.W.H.
Kecan, G.	Kecan, G.
Keeley, J.E.	Keeley, J.E.
Kennedy, H.	Kennedy, H.
Kieft, E.G.B.	Kieft, E.G.B.
Killip, E.P.	Killip, Ellsworth Paine
King, R.M.	King, R.M.
Kirkbride, J.H. Jr	Kirkbride, J.H. Jr
Koje, M.	Koje, M.
Laboratorios Melser	Laboratorios Melser
Laboratorios Phitother	Laboratorios Phitother
Ladino, L.	Ladino, L.
Ladino, N.	Ladino, N.
Ladino, P.	Ladino, P.
Laegaard, S.	Laegaard, Simon
Lanchero-Barrios, I.P.	Lanchero-Barrios, I.P.
Lancheros-Ubate, M.	Lancheros-Ubate, M.
Lancheros, H.	Lancheros, Héctor Orlando
Lancheros, Héctor O.	Lancheros, Héctor Orlando
Lancheros, Héctor Orlando	Lancheros, Héctor Orlando
Landolt, E.	Landolt, E.
Lara-R., G.	Lara-R., G.A.
Lara, E.	Lara, E.
Lara, G.A.	Lara-R., G.A.
Latorre, C.	Latorre, C.
Laureano	Laureano
Laverde, H.	Laverde, H.
Leal, L.	Leal, L.
Leal, M.	Leal, M.
Lehmann, F.C.	Lehmann, F.C.
León-Gómez, M.	León-Gómez, M.
León-Pabón, J.	León-Pabón, J.
Lesmes, H.	Lesmes, H.
Lewis, W.H.	Lewis, W.H.
Linares, L.	Linares, L.
Linden, J.	Linden, J.
Lindig, A.	Lindig, A.
Lindig, M.	Lindig, M.
Little, E.L. Jr.	Little, E.L. Jr.
Llano, M. del	Llano, M. del
Lleras, A.	Lleras, A.
Lleras, E.	Lleras, E.
Loaiza, A.	Loaiza, A.
Londoño-E., F.	Londoño-E., F.
Londoño, A.	Londoño, A.
Londoño, C.	Londoño, C.
Londoño, E.	Londoño, E.
Lopera-Doncel, María Catalina	Lopera-Doncel, María Catalina
Lopera, María Catalina	Lopera, María Catalina
López	López
López-C., R.	López-Camacho, René
López-C., René	López-Camacho, René
López-Camacho, René	López-Camacho, René
López-Cruz, José	López-Cruz, José
López-G., Laura Manuela	López-G., Laura Manuela
López-J., L.E.	López-J., L.E.
López-O., M.	López-O., M.
López-P., S.	López-Palacios, S.
López, C.	López, C.
López, E.	López, E.
López, José	López, José
López, L.	López, L.
López, M.	López, M.
López, M.P.	López, M.P.
López, P.	López, P.
López, R.	López-Camacho, René
Lourteig, A.	Lourteig, A.
Lozano-C., G.	Lozano-Contreras, Gustavo
Lozano-M., G.E.	Lozano-M., G.E.
Lozano, Ga.	Lozano-Contreras, Gustavo
Lozano, Y.	Lozano, Y.
Luengas, P.E.	Luengas, P.E.
Luteyn, J.	Luteyn, James L.
Luteyn, J.L.	Luteyn, James L.
Lynch, J.D.	Lynch, John D.
Macdonald, R.	Macdonald, R.
Machado, J.	Machado, J.
Madero, A.	Madero, A.
Magdefrau, K.	Magdefrau, K.
Maguire, B.	Maguire, B.
Mahecha, G.	Mahecha-Vega, G.
Maldonado, A.	Maldonado, A.
Maldonado, L.	Maldonado, L.
Marín-L., P.	Marín-L., P.
Marín, César	Marín, César
Marín, O.	Marín, O.
Mariño, M.	Mariño, M.
Mariño, O.	Mariño, O.
Marquinez-C., X.	Marquínez-C., Xavier
Marta	Marta
Martín-H., M.	Martín-H., M.
Martín, R.	Martín, R.
Martin, R.T.	Martin, R.T.
Martínez-P., M.L.	Martínez-Peña, Myriam Liliana
Martínez-Peña, Myriam Liliana	Martínez-Peña, Myriam Liliana
Martínez-Rojas, Aura Mayerly	Martínez-Rojas, Aura Mayerly
Martínez, Aura Mayerly	Martínez-Rojas, Aura Mayerly
Martínez, C.	Martínez, C.
Martínez, G.	Martínez, G.
Martínez, J.	Martínez, J.
Martínez, J.A.	Martínez, J.A.
Martínez, Ja.	Martínez, Ja.
Martinez, K.	Martinez, K.
Martínez, L.	Martínez, L.
Martínez, M.	Martínez, M.
Martínez, Myriam Liliana	Martínez-Peña, Myriam Liliana
Martínez, N.	Martínez, N.
Martínez, Y.	Martínez, Y.
Mason, H.L.	Mason, H.L.
Mateus, R.	Mateus, R.
Matiz-Guerra, Laura Catalina	Matiz-Guerra, Laura Catalina
Matiz, Laura Catalina	Matiz-Guerra, Laura Catalina
Mayor, E.	Mayor, E.
Mayorga, C.	Mayorga, C.
Mayorga, M.	Mayorga, M.
MCB	MCB
McClintock, E.	McClintock, E.
McVaugh, R.	McVaugh, R.
Medellín-Z., D.	Medellín-Z., Diana
Medellín-Z., Diana	Medellín-Z., Diana
Medina-P., R.	Medina-P., R.
Medina-Vallejo, C.C.	Medina-Vallejo, C.C.
Medina, C.	Medina, C.
Medina, R.	Medina, R.
Mejía-J., R.	Mejía-J., R.
Mejía, A.	Mejía, A.L.
Mejía, A.L.	Mejía, A.L.
Mejía, F.	Mejía, F.
Mejía, J.	Mejía, J.P.
Mejía, J.P.	Mejía, J.P.
Mejía, P.	Mejía, P.
Melo, M.	Melo, M.
Méndez-Vargas, E.	Méndez-Vargas, E.
Méndez, D.	Méndez, D.
Mendoza-Cifuentes, H.	Mendoza-Cifuentes, Humberto
Mendoza-Cifuentes, Humberto	Mendoza-Cifuentes, Humberto
Mendoza, E.	Mendoza, E.
Mendoza, H.	Mendoza-Cifuentes, Humberto
Mendoza, Humberto	Mendoza-Cifuentes, Humberto
Mendoza, R.E.	Mendoza, R.E.
Mendoza, Y. de	Mendoza, Y. de
Merrill-K., R.	Merrill-K., R.
Mesa, L.	Mesa, L.
Meza, D.	Meza, D.
Mezey, K.	Mezey, K.
Mina-Calvo, A.	Mina-Calvo, A.
Miranda, Jessica	Miranda, Jessica
Mogens, K.	Mogens, K.
Molina, E.	Molina, E.
Monroe, R.P.	Monroe, R.P.
Montaña-B., E.	Montaña-B., E.
Montenegro, A.	Montenegro, A.
Montenegro, E.	Montenegro, E.
Montenegro, L.	Montenegro, Leyla
Montenegro, Leyla	Montenegro, Leyla
Montenegro, O.	Montenegro, O.
Montero, Iván	Montero, Iván
Monterroza, L.	Monterroza, L.
Montes, N.	Montes, N.
Montoya-Q., Angela	Montoya-Quintero, Angela
Montoya-Quintero, A.	Montoya-Quintero, Angela
Montoya, Angela	Montoya-Quintero, Angela
Montoya, E.	Montoya, E.
Moore, H.E. Jr.	Moore, H.E. Jr.
Mora-G., J.	Mora-Gómez, J.
Mora-G., R.A.	Mora-G., R.A.
Mora-Huertas, A.C.	Mora-Huertas, A.C.
Mora-O., L.E.	Mora-Osejo, Luis Eduardo
Mora, A.C.	Mora-Huertas, A.C.
Mora, G.	Mora, G.
Morales-L., G.	Morales-L., Gustavo
Morales-L., Gustavo	Morales-L., Gustavo
Morales-Rozo, Clara	Morales-Rozo, Clara
Morales, A.	Morales, A.
Morales, C.	Morales, C.
Morales, Clara	Morales-Rozo, Clara
Morales, G.	Morales-L., Gustavo
Morales, Gustavo	Morales-L., Gustavo
Morales, L.	Morales, L.
Morales, M.	Morales, M.
Moreno-Murillo, B.	Moreno-Murillo, B.
Moreno-P., L.E.	Moreno-P., L.E.
Moreno, A.	Moreno, A.
Moreno, A.C.	Moreno, A.C.
Moreno, B.	Moreno, B.
Moreno, Esteban	Moreno, Esteban
Moreno, G.	Moreno, G.
Moreno, L.A.	Moreno, L.A.
Moreno, M.	Moreno, M.
Moreno, Olga	Moreno, Olga
Moreno, W.	Moreno, W.
Moya, M.	Moya, M.
Muñoz-Beltrán, B.	Muñoz-Beltrán, B.
Muñoz-Sánchez, K.	Muñoz-Sánchez, K.
Muñoz, J.	Muñoz, José A.
Muñoz, José	Muñoz, José A.
Muñoz, José A.	Muñoz, José A.
Muñoz, T.	Muñoz, T.
Murcia, G.	Murcia, G.
Murillo-B., D.M.	Murillo-B., D.M.
Murillo, E.	Murillo, E.
Murillo, M.T.	Murillo-Pulido, M. T.
Mutis-D., E.	Mutis-D., E.
Mutis, J.C.B.	Mutis, J.C.B.
Navarro, J.	Navarro, J.
Navarro, Jaime	Navarro, Jaime
Navarro, L.	Navarro, L.
Navia, A.	Navia, A.
Nee, M.H.	Nee, M.H.
NEYBER LTDA,	Neyber Ltda.
Niemeyer, E.	Niemeyer, E.
Niño-Niño, P.G.	Niño-Niño, P.G.
Norato, J.	Norato, J.
Novoa-Garcés, A.F.	Novoa-Garcés, A.F.
Novoa, O.	Novoa, O.
Nuñez-Arévalo, L.	Nuñez-Arévalo, L.
Núñez, J.	Núñez, J.
Núñez, L.A.	Núñez, L.A.
O'Donnell, C.A.	O'Donnell, C.A.
Obando, Sandra	Obando, Sandra
Obregón-B., R.	Obregón-B., R.
Ocampo-Z., K.	Ocampo-Z., K.
Olaucegui, J.	Olaucegui, J.
Olaya-R., T.	Olaya-R., T.
Olea, A.	Olea, A.
Olivier-Hay, Y.	Olivier-Hay, Y.
Olmos, J.R.	Olmos-Soler, J. R.
Oñate, O.	Oñate, O.
Ordóñez-B., Juan C.	Ordóñez-Blanco, Juan Camilo
Ordóñez-B., Juan Camilo	Ordóñez-Blanco, Juan Camilo
Ordóñez-Blanco, Juan C.	Ordóñez-Blanco, Juan Camilo
Ordóñez-Blanco, Juan Camilo	Ordóñez-Blanco, Juan Camilo
Ordoñez, A.N.	Ordoñez, A.N.
Ordoñez, J.	Ordóñez-Blanco, Juan Camilo
Ordóñez, Juan C.	Ordóñez-Blanco, Juan Camilo
Ordóñez, Juan Camilo	Ordóñez-Blanco, Juan Camilo
Ordoñez, M.	Ordoñez, M.
Orejuela-R., Andrés	Orejuela-Ramírez, Andrés Alberto
Orejuela-Ramírez, Andrés	Orejuela-Ramírez, Andrés Alberto
Orejuela, A.	Orejuela-Ramírez, Andrés Alberto
Orejuela, Andrés	Orejuela-Ramírez, Andrés Alberto
Orejuela, Andrés Alberto	Orejuela-Ramírez, Andrés Alberto
Organista, J.	Organista, J.
Orjuela-R., M.A.	Orjuela-R., M.A.
Orozco-Ospina, Nubia	Orozco-Ospina, Nubia Esperanza
Orozco-Ospina, Nubia Esperanza	Orozco-Ospina, Nubia Esperanza
Orozco, Nubia	Orozco-Ospina, Nubia Esperanza
Orozco, O.	Orozco, O.
Orrego, O.	Orrego, O.
Ortega, Vladimir	Ortega, Vladimir
Ortiz-R., C.	Ortiz-Restrepo, C.
Ortíz-Restrepo, C.	Ortiz-Restrepo, C.
Ortiz-V., P.	Ortiz-Valdivieso, P.
Ortiz-Valdivieso, P.	Ortiz-Valdivieso, P.
Ortíz, D.	Ortiz, D.
Ortiz, H.	Ortiz, H.
Ortiz, M.	Ortiz, M.
Ortiz, P.	Ortiz, P.
Ortiz, R.	Ortiz, R.
Ortiz, Stefan	Ortiz, Stefan
Osorio, A.	Osorio, A.
Osorio, D.	Osorio, D.
Osorio, J.	Osorio, J.
Ospina-C., H.	Ospina-C., H.
Ospina-H., M.	Ospina-H., M.
Ospina-M., M.	Ospina-M., M.
Ospina-Monroy, C.	Ospina-Monroy, C.
Ospina, C.	Ospina-Monroy, C.
Ospina, M.	Ospina, M.
Ospina, V.	Ospina, V.
Otero-Durán, I.	Otero-Durán, I.
Pablo, A.	Pablo, A.
Pabón-E., M.A.	Pabón-E., M.A.
Pachón-Currea, A.A.	Pachón-Currea, A.A.
Pachón, F.	Pachón, F.
Páez, M.	Páez, M.
Palacios, J.	Palacios, J.C.
Palacios, J.C.	Palacios, J.C.
Palacios, P.A.	Palacios, P.A.
Páramo, G.	Páramo, G.
Páramo, J.	Páramo, J.
Pardo, C.	Pardo, C.
Pardo, D.	Pardo, D.
Paredes-Castro, M.R.	Paredes-Castro, M.R.
Paredes, A.	Paredes, A.
Paredes, M.	Paredes, M.
Parra-O., C.	Parra-Osorio, Carlos A.
Parra, C.A.	Parra, C.A.
Parra, G.	Parra, G.
Parrado, C.	Parrado, C.
Parrado, E.	Parrado, E.
Pedraza, C.	Pedraza-Peñalosa, Carlos
Pedraza, P.	Pedraza-Peñalosa, Paola
Pedrozo-P., J.A.	Pedrozo-P., J.A.
Peña, C.D.	Peña, C.D.
Peña, D.	Peña, C.D.
Peña, J.	Peña, J.C.
Peña, J.C.	Peña, J.C.
Peña, N.	Peña, Nohora
Peña, Nohora	Peña, Nohora
Pennell, F.	Pennell, F.W.
Pennell, F.W.	Pennell, F.W.
Peralta, J.	Peralta, J.
Perea, M.	Perea, M.
Pereira, G.	Pereira, G.
Pérez-Arbeláez, E.	Pérez-Arbeláez, Enrique
Pérez-Arbeláez, Enrique	Pérez-Arbeláez, Enrique
Pérez-Gil, Y.M.	Pérez-Gil, Y.M.
Pérez-Martínez, Laura Victoria	Pérez-Martínez, Laura Victoria
Pérez-S., Verónica	Pérez-Suárez, Verónica
Pérez-Suárez, Verónica	Pérez-Suárez, Verónica
Pérez, B.	Pérez, B.
Pérez, Darío	Pérez, Darío
Pérez, J.	Pérez, J.
Pérez, Laura Victoria	Pérez-Martínez, Laura Victoria
Pérez, S.	Pérez, S.
Pescador-V., B.	Pescador-V., B.
Philipson, W.R.	Philipson, W.R.
Pico-A., J.A.	Pico-A., J.A.
Pico-V., A.	Pico-Villalobos, Adriana
Pico-Villalobos, Adriana	Pico-Villalobos, Adriana
Pico, A.	Pico-Villalobos, Adriana
Pico, Adriana	Pico-Villalobos, Adriana
Pihedradita	Pihedradita
Pineda, D.P.	Pineda, D.P.
Pineda, M.	Pineda, Mónica
Pineda, Mónica	Pineda, Mónica
Pinilla, G.S. de	Pinilla, G.S. de
Pino, D. del	Pino, D. del
Pinto, P.	Pinto-Escobar, Polidoro
Pinto, R.	Pinto, R.
Pinzón-Pérez, Luisa Fernanda	Pinzón-Pérez, Luisa Fernanda
Pinzón-Rico, Y.A.	Pinzón-Rico, Y.A.
Pinzón, C.	Pinzón, C.
Pinzón, E. de	Pinzón, E. de
Pinzón, Luisa	Pinzón-Pérez, Luisa Fernanda
Pinzón, Luisa Fernanda	Pinzón-Pérez, Luisa Fernanda
Piza, L.F.	Piza, L.F.
Plata, E.	Plata, E.
Plowman, T.C.	Plowman, T.C.
Polanco, C.	Polanco, C.
Pombo, F.	Pombo, F.
Portillo, A.	Portillo, A.
Portillo, H. del	Portillo, H. del
Posada, A.	Posada, A.
Posada, C.	Posada, C.
Posada, M.	Posada, M.
Poveda, A.	Poveda, A.
Prada-C., J.D.	Prada-C., J.D.
Prado, C.	Prado, C.
Preciado-Silva, C.	Preciado-Silva, C.
Premauer, J.	Premauer, J.
Prieto, A.	Prieto, A.
Prieto, M.	Prieto, M.
Pring, G.H.	Pring, G.H.
Puente, M.Y.	Puente, M.Y.
Puentes-S., A.M.	Puentes-S., A.M.
Puentes, L.	Puentes, L.
Pulido-Caballero, J.C.	Pulido-Caballero, J.C.
Pulido-Hernández, L.P.	Pulido-Hernández, L.P.
Pulido, L.A.	Pulido, L.A.
Pulido, L.P.	Pulido-Hernández, L.P.
Pupiales, E.	Pupiales, E.
Purdie, W.	Purdie, W.
Quinche, M.A.	Quinche, M.A.
Quiñones, L.M.	Quiñones, L. M.
Quinto, W.	Quinto, W.
Rabón, W.	Rabón, W.
Ramírez-P., B.R.	Ramírez-P., B.R.
Ramírez, F.	Ramírez, F.
Ramírez, M.	Ramírez, M.
Ramírez, P.	Ramírez, Perla
Ramírez, Perla	Ramírez, Perla
Ramírez, S.R.	Ramírez, S.R.
Ramírez, W.	Ramírez, W.
Ramón, R.	Ramón, R.
Ramos-García, C.	Ramos-García, C.
Ramos, C.G.	Ramos-García, C.
Ramos, G.	Ramos, G.
Ramos, Juan Pablo	Ramos, Juan Pablo
Ramos, O.G.	Ramos, O.G.
Ramos, W.	Ramos, W.
Rangel-G., A.	Rangel-G., A.
Rangel, O.	Rangel-Churio, J. O.
Reina-E., M.	Reina-E., M.
Reina, M.	Reina, Miriam
Reina, Miriam	Reina, Miriam
Renetta, A.J.	Renetta, A.J.
Renz, O.	Renz, O.
Restrepo-M., R.	Restrepo-M., R.
Restrepo, J.	Restrepo, J.
Restrepo, Marcela	Restrepo, Marcela
Rey, C.	Rey, C.
Reyes, A.	Reyes, A.
Reyes, A.A.	Reyes, A.A.
Reyes, J.	Reyes, J.
Riaño, A.	Riaño, A.
Richter, L.	Richter, L.
Rico, L.S.	Rico, L.S.
Rincón, D.F.	Rincón, D.F.
Rincón, Milton	Rincón, Milton
Rincón, V.	Rincón, V.
Ríos, A.	Ríos, A.
Ríos, Felipe	Ríos, Héctor Felipe
Ríos, H.	Ríos, Héctor Felipe
Ríos, H. F.	Ríos, Héctor Felipe
Ríos, Héctor	Ríos, Héctor Felipe
Ríos, Héctor F.	Ríos, Héctor Felipe
Ríos, Héctor Felipe	Ríos, Héctor Felipe
Ríos, S.	Ríos, S.
Ríos, T. de los	Ríos, T. de los
Rivera-Díaz, O.	Rivera-Díaz, Orlando
Rivera, C.J.	Rivera, C.J.
Rivera, David	Rivera, David
Rivera, R.	Rivera, R.
Rivera, Yissel	Rivera, Yissel
Riveros, O.	Riveros, O.
Roa-T., A.	Roa-T., A.
Roa, P.H.	Roa, P.H.
Robayo, C.	Robayo, C.X.
Robayo, C.X.	Robayo, C.X.
Robledo, O.	Robledo, O.
Robles-C., J.	Robles-C., J.
Robles, H.	Robles, H.
Rocha-P., L.	Rocha-P., L.
Roderstrom, T.R.	Roderstrom, T.R.
Rodríguez-Alarcón, Slendy	Rodríguez-Alarcón, Slendy
Rodríguez-Almansa, S.M.	Rodríguez-Almansa, S.M.
Rodríguez-B., C.A.	Rodríguez-B., C.A.
Rodríguez-C., A.	Rodríguez-C., Ángela
Rodríguez-C., Ángela	Rodríguez-C., Ángela
Rodríguez-Martínez, Lizeth	Rodríguez-Martínez, Lizeth
Rodríguez-Mayusa, J.	Rodríguez-Mayusa, J.
Rodríguez, A.	Rodríguez-C., Ángela
Rodríguez, A.L.	Rodríguez, A.L.
Rodríguez, Ángela	Rodríguez-C., Ángela
Rodríguez, B.	Rodríguez, B.
Rodríguez, C.E.	Rodríguez, C.E.
Rodríguez, D.	Rodríguez, D.
Rodríguez, G.	Rodríguez, G.
Rodríguez, H.	Rodríguez, H.
Rodríguez, I.	Rodríguez, I.
Rodríguez, L.	Rodríguez, L.
Rodríguez, N.	Rodríguez, N.
Rodríguez, O.	Rodríguez, O.
Rodríguez, P.	Rodríguez, P.
Rodríguez, R.	Rodríguez, R.
Rodríguez, S.	Rodríguez, S.
Rodríguez, Slendy	Rodríguez-Alarcón, Slendy
Rodríguez, W.	Rodríguez, W.
Rodríguez, Y.	Rodríguez, Y.
Rojas-B., Sandra L.	Rojas-Botero, Sandra L.
Rojas-Botero, Sandra L.	Rojas-Botero, Sandra L.
Rojas-Kassem, Z.	Rojas-Kassem, Z.
Rojas, A.	Rojas, A.
Rojas, C.	Rojas, C.
Rojas, J.M.	Rojas, J.M.
Rojas, M.	Rojas, M.
Rojas, N.	Rojas, N.C.
Rojas, N.C.	Rojas, N.C.
Roldán, F.J.	Roldán, F.J.
Rolla, M.	Rolla, M.
Romero-Castañeda, R.	Romero-Castañeda, R.
Romero-Murcia, Johanna	Romero-Murcia, Johanna
Romero, D.	Romero, D.
Romero, H.	Romero, H.
Rondón, D.C.	Rondón, D.C.
Rubiano, Kristian	Rubiano, Kristian
Rubio, H.J.	Rubio, H.J.
RubioR.R.	Rubio, R.R.
Ruiz-S., G.	Ruiz-S., G.
Ruiz, G.	Ruiz, G.
Ruiz, Z.	Ruiz, Z.
Rusby, H.H.	Rusby, H.H.
Russi, E.	Russi, E.
S. M.	S. M.
Saab-Vélez, P.	Saab-Vélez, P.
Saavedra, D.	Saavedra, D.
Saavedra, M.E.	Saavedra, M.E.
Salama, A.	Salama, A.
Salamanca, H.	Salamanca, H.
Salamanca, J.	Salamanca, J.
Salamanca, S.	Salamanca, S.
Salas, C.	Salas, C.
Salazar-León, L.	Salazar-León, L.
Salazar, R.	Salazar, R.
Salinas, J.	Salinas, J.
Salinas, N.R.	Salinas, N.R.
Salvador, J.	Salvador, J.
Sanabria-Galindo, A.	Sanabria-Galindo, A.
Sanabria, María Fernanda	Sanabria, María Fernanda
Sanabria, R.	Sanabria, R.
Sánchez-H., F.	Sánchez-H., F.
Sánchez, A.	Sánchez, A.
Sánchez, D.	Sánchez, D.
Sánchez, G.	Sánchez, G.
Sánchez, L.	Sánchez, L.
Sánchez, M.C.	Sánchez, M.C.
Sánchez, P.	Sánchez, P.
Sánchez, R.	Sánchez, Roberto
Sánchez, Roberto	Sánchez, Roberto
Sánchez, V.	Sánchez, V.
Sánchez, Y.	Sánchez, Y.
Sandeman, C.A.W.	Sandeman, C.A.W.
Sandoval-Arenas, M.	Sandoval-Arenas, M.
Sandoval-Mojica, A.F.	Sandoval-Mojica, A.F.
Sandra	Sandra
Santa, J.I.	Santa, J.I.
Santos, G.	Santos, Guillermo
Santos, Guillermo	Santos, Guillermo
Santoyo, M.	Santoyo, M.
Saravia-T., C.	Saravia-T., C.
Sarmiento-T., Jorge	Sarmiento-T., Jorge
Sarmiento, C.R.	Sarmiento, C.R.
Sarmiento, E.	Sarmiento, E.
Sarmiento, F.	Sarmiento, F.
Sarmiento, J.	Sarmiento-T., Jorge
Sarmiento, Jorge	Sarmiento-T., Jorge
Sastoque, E.	Sastoque, E.
Sastre, C.	Sastre, C.
Scharader-F., C.	Scharader-F., C.
Schiefer, H.	Schiefer, H.
Schlesinger, D.	Schlesinger, D.
Schmidt-Mumm, U.	Schmidt-Mumm, U.
Schneider, A.	Schneider, A.
Schneider, M.	Schneider, M.
Schultes, R.E.	Schultes, R. E.
Schultze, A.	Schultze, A.
Schwabe, W.	Schwabe, W.
Serna-Isaza, R.A.	Serna-Isaza, R. A.
Serna, G.	Serna, G.
Shwabe, W.	Shwabe, W.
Siachoque, N.A.	Siachoque, N.A.
Sierra, B.	Sierra, B.
Sierra, G.	Sierra, G.
Sierra, J.	Sierra, J.
Silva-Mojica, H.	Silva-Mojica, H.
Silva, A.	Silva, A.
Silva, C.A.	Silva, C.A.
Silva, G.	Silva, G.
Silva, G.A.	Silva, G.A.
Silva, H.	Silva-Mojica, H.
Silva, L.	Silva, L.
Silva, M.L.	Silva, M.L.
Sipman, H.	Sipman, H.
Sm	Sm
Smith, L.B.	Smith, L. B.
Smith, S.G	Smith, S.G
Sociedad de Naturalistas de Nueva Granada	Sociedad de Naturalistas de Nueva Granada
Soderstrom, T.R.	Soderstrom, T.R.
Soejarto, D.D.	Soejarto, D. D.
Solano, F.	Solano, F.
Solano, O.	Solano, O.
Solarte, M.A.	Solarte, M.A.
Sosa, R.	Sosa, R.
Sotelo, C.	Sotelo, C.
Sotelo, L. M.	Sotelo, L. M.
Soto De León, S.	Soto De León, S.
Spadafora-G., A.	Spadafora-G., A.
Sprague, T.A.	Sprague, T.A.
St. John, H.	St. John, H.
Ståhl, B.	Ståhl, B.
Stâncik, D.	Stâncik, D.
Stein, B.A.	Stein, B.A.
Stübel, A.	Stübel, A.
Sturm, H.	Sturm, H.
Suárez-Ballesteros, C. I.	Suárez-Ballesteros, Carlos Iván
Suárez-M., A.	Suárez-M., A.
Suárez-Patiño, A.	Suárez-Patiño, A.
Suárez, A.	Suárez-Patiño, A.
Suárez, C. I.	Suárez-Ballesteros, Carlos Iván
Suárez, C.I.	Suárez-Ballesteros, Carlos Iván
Suárez, Carlos Iván	Suárez-Ballesteros, Carlos Iván
Suárez, H.	Suárez, H.
Suárez, N.	Suárez, N.
Suárez, R.	Suárez, R.
Suárez, S.	Suárez, S.
Suárez, Z.J.	Suárez, Z.J.
Suescun-Ramírez, O.	Suescun-Ramírez, O.
Taborda, J.	Taborda, J.
Talero, A.	Talero, A.
Téllez, E.	Téllez, E.
Téllez, G.	Téllez, G.
Terreros, J.	Terreros, J.
Tinjacá, S.	Tinjacá, S.
Tobar, D.E.	Tobar, D.E.
Toro, R.A.	Toro, R.A.
Torre, G. de la	Torre, G. de la
Torres-H., T.	Torres-H., T.
Torres-R., J.H.	Torres-Romero, J. H.
Torres, F.	Torres, F.
Torres, H.	Torres, H.
Torres, J.M.	Torres, J.M.
Torres, T.	Torres, T.
Tovar, C.	Tovar, C.
Tovar, O.	Tovar, O.
Tracey, J.A.	Tracey, J.A.
Tracey, T.	Tracey, T.
Traub, H.P.	Traub, H.P.
Triana, J.J.	Triana, José Jerónimo
Triana, M.	Triana, M.
Triana, T.	Triana, T.
Troll, C.	Troll, C.
Trujillo-Acosta, Angélica	Trujillo-Acosta, Angélica
Trujillo, G.	Trujillo, G.
Trujillo, L.	Trujillo, Ledy
Trujillo, Ledy	Trujillo, Ledy
Tryon, R.M.	Tryon, R.M.
U. Pedagógica 1986-I Grupo 3	U. Pedagógica 1986-I Grupo 3
U.E.J.	U.E.J.
Ungar, P.	Ungar, P.
Universidad de Los Andes	Universidad de Los Andes
Urban, I.	Urban, I.
Urbano, S.	Urbano, S.
Uribe-U., L.	Uribe-Uribe, L.
Uribe-Uribe, L.	Uribe-Uribe, L.
Uribe, P.	Uribe, P.
Urrea, G.	Urrea, G.
Urrego, D.	Urrego, D.
V.C.	V.C.
Vaca, A.	Vaca, A.
Vaca, M.	Vaca, M.
Valderrama, B. de	Valderrama, B. de
Valderrama, J.	Valderrama, J.
Valencia-D., J.	Valencia-D., Janice
Valencia-D., Janice	Valencia-D., Janice
Valencia, Janice	Valencia-D., Janice
Valencia, P.	Valencia, P.
Van der Hammen, T.	van der Hammen, Thomas
Vanegas, B.	Vanegas, B.
Vanegas, S.	Vanegas, S.
Varela, G.	Varela, G.
Varela, R.	Varela, R.
Vargas-N., J.P.	Vargas-Núñez, J. P.
Vargas-R., O.	Vargas-R., O.
Vargas-Rincón, Carlos	Vargas-Rincón, Carlos Alberto
Vargas, A.	Vargas, A.
Vargas, C. A.	Vargas-Rincón, Carlos Alberto
Vargas, C.A.	Vargas-Rincón, Carlos Alberto
Vargas, Carlos	Vargas-Rincón, Carlos Alberto
Vargas, Carlos A.	Vargas-Rincón, Carlos Alberto
Vargas, Carlos Alberto	Vargas-Rincón, Carlos Alberto
Vargas, G.	Vargas, G.
Vargas, J.	Vargas, J.
Vargas, K.	Vargas, K.
Vargas, L.	Vargas, L.J.
Vargas, L.F.	Vargas, L.F.
Vargas, L.J.	Vargas, L.J.
Vargas, Os.	Vargas, Oscar
Vargas, Oscar	Vargas, Oscar
Vargas, P.	Vargas, P.
Vargas, Y.	Vargas, Y.
Varón, N.	Varón, N.
Vásquez, C.A.	Vásquez, C.A.
Vásquez, J.	Vásquez, J.
Vega, G.	Vega, G.
Vega, W.	Vega, W.
Vegas-Mendoza, S.M.	Vegas-Mendoza, S.M.
Vejarano, S.	Vejarano, S.
Velasco-Linares, P.	Velasco-Linares, P.
Velasco, L.	Velasco, L.
Velásquez	Velásquez
Velásquez, A.	Velásquez, A.
Velásquez, G.	Velásquez, G.
Velásquez, R.	Velásquez, R.
Velásquez, S.	Velásquez, S.
Velásquez, T.	Velásquez, T.
Vélez, J.	Vélez, J.
Vélez, Saab	Vélez, Saab
Vergara, J.	Vergara, J.
Vergara, K.	Vergara, K.
Viasus, L.	Viasus, L.
Vidal, A.M.	Vidal, A.M.
Villa, D.	Villa, D.
Villagómez, R.	Villagómez, R.
Villarraga, L.	Villarraga, L.
Villarreal, L.I.	Villarreal, L.I.
Villarreal, M.	Villarreal, M.
Villarreal, S.	Villarreal, S.
Villegas, F.	Villegas, F.
Villota, A.	Villota, A.
Vink, R.	Vink, R.
Vivas, C.	Vivas, C.
Vodicka, M.	Vodicka, M.
