CollectorVerbatim	Standarized_Collector
Bischler, H.	Bischler, H.
Black, G.A.	Black, G.A.
Blanco-Z., M.T.	Blanco-Z., M.T.
Blanco, C.	Blanco, C.
Blanco, D.C.	Blanco, D.C.
Bohórquez-Cadena, K.	Bohórquez-Cadena, K.
Bohórquez, P.	Bohórquez, P.
Bolívar, L.	Bolívar, L.
Bonilla, D.	Bonilla, D.
Bonilla, Z.	Bonilla, Z.
Bonpland, A.J.A.	Bonpland, A.J.A.
Borda, I.E.	Borda, I.E.
Borda, M.	Borda, M.
Borsch, Thomas	Borsch, Thomas
Botero	Botero
Botero-Baena, N.	Botero-Baena, N.
Botero, Judith	Botero, Judith
Bouthillette, G.R.	Bouthillette, G.R.
Bowman	Bowman
Bravo, N.F.	Bravo, N.F.
Bricker, W.G.	Bricker, W.G.
Bristow, J.M.	Bristow, J.M.
Buitrago, C.	Buitrago, C.
Buitrago, J.	Buitrago, J.
Bula, P.	Bula, P.
C. L. CH. L.	C. L. CH. L.
C.E.	C.E.
Caballero, E.	Caballero, E.
Caballero, L.M.	Caballero, L.M.
Caballero, M.	Caballero, L.M.
Caballero, Y.	Caballero, Y.
Cabeza, G.	Cabeza, G.
Cabra, L.E.	Cabra, L.E.
Cabrera-Amaya, Diego M.	Cabrera-Amaya, Diego Mauricio
Cabrera-Amaya, Diego Mauricio	Cabrera-Amaya, Diego Mauricio
Cabrera, D.	Cabrera-Amaya, Diego Mauricio
Cabrera, Diego	Cabrera-Amaya, Diego Mauricio
Cabrera, Diego Mauricio	Cabrera-Amaya, Diego Mauricio
Cabrera, T.	Cabrera, T.
Cadena-S., M.	Cadena-S., M.
Caicedo, G.R.	Caicedo, G.R.
Calbi, M.	Calbi, Mariasole
Calbi, Mariasole	Calbi, Mariasole
Calderón, C.E.	Calderón, C.E.
Calderón, E.	Calderón, E.
Calderón, O.	Calderón, O.
Calle-A., J.	Calle-Álvarez, J.
Calle-Álvarez, J.	Calle-Álvarez, J.
Calvo, M.	Calvo, M.
Camacho, I.	Camacho, I.
Camacho, Shirley	Camacho, Shirley Eliana
Camacho, Shirley Eliana	Camacho, Shirley Eliana
Camargo, A.	Camargo-G., Luis Alfredo
Camargo, L.	Camargo-G., Luis Alfredo
Camargo, L.A.	Camargo-G., Luis Alfredo
Camelo-M., Lina	Camelo-M., Lina
Camelo, P.	Camelo, P.
Campiño, Camila	Campiño, Camila
Campo, S. del	Campo, S. del
